direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
short,1,2026-02-26T09:30:32.744000,2026-02-26T10:38:48.264000,25312.0000,24964.7500,693.46,1.04,-47.50,900.00,short,reverse
long,1,2026-02-26T10:38:50.612000,2026-02-26T11:46:07.660000,24966.0000,24982.0000,30.96,1.04,-22.50,239.00,long,reverse
short,1,2026-02-26T11:46:12.284000,2026-02-26T13:36:52.212000,24981.0000,24990.7500,-20.54,1.04,-97.50,184.50,short,reverse
long,1,2026-02-26T13:36:52.360000,2026-02-26T18:00:48.624000,24992.0000,24996.0000,6.96,1.04,-30.00,214.00,long,reverse
short,1,2026-02-26T18:00:48.628000,2026-02-26T21:54:33.144000,24995.0000,25023.0000,-57.04,1.04,-83.50,82.00,short,eod
long,1,2026-02-27T00:20:16.348000,2026-02-27T01:16:40.088000,25055.0000,25005.0000,-101.04,1.04,-99.50,11.00,long,stop
short,1,2026-02-27T05:04:47.236000,2026-02-27T05:33:51.400000,24992.2500,25042.2500,-101.04,1.04,-99.50,52.50,short,stop
long,1,2026-02-27T09:33:05.548000,2026-02-27T09:37:40.564000,24898.0000,24848.0000,-101.04,1.04,-99.50,13.00,long,stop
short,1,2026-02-27T09:43:05.792000,2026-02-27T09:44:43.340000,24806.0000,24856.0000,-101.04,1.04,-99.50,52.00,short,stop
long,1,2026-02-27T09:46:14.520000,2026-02-27T12:20:28.108000,24881.0000,24934.2500,105.46,1.04,-62.00,311.50,long,reverse
short,1,2026-02-27T12:20:28.232000,2026-02-27T12:30:22.264000,24933.0000,24983.0000,-101.04,1.04,-99.50,65.50,short,stop
long,1,2026-02-27T15:17:26.296000,2026-02-27T15:38:34.112000,24975.5000,24925.5000,-101.04,1.04,-99.50,58.00,long,stop
short,1,2026-03-01T18:00:00.180000,2026-03-01T18:00:36.660000,24683.0000,24733.0000,-101.04,1.04,-99.50,104.00,short,stop
long,1,2026-03-01T18:01:47.480000,2026-03-01T18:04:20.968000,24740.5000,24690.5000,-101.04,1.04,-99.50,35.50,long,stop
long,1,2026-03-02T03:50:38.264000,2026-03-02T07:54:32.464000,24584.0000,24627.0000,84.96,1.04,-64.50,290.50,long,reverse
short,1,2026-03-02T07:54:37.684000,2026-03-02T08:19:36.148000,24626.0000,24676.0000,-101.04,1.04,-99.50,33.50,short,stop
long,1,2026-03-02T08:22:01.284000,2026-03-02T08:44:49.520000,24712.0000,24662.0000,-101.04,1.04,-99.50,55.50,long,stop
short,1,2026-03-02T08:56:42.828000,2026-03-02T09:31:00.124000,24638.5000,24688.5000,-101.04,1.04,-99.50,88.00,short,stop
long,1,2026-03-02T09:31:00.232000,2026-03-02T10:32:54.404000,24696.0000,24846.5000,299.96,1.04,-20.00,503.50,long,reverse
short,1,2026-03-02T10:33:09.328000,2026-03-02T10:38:05.852000,24845.2500,24895.2500,-101.04,1.04,-99.50,6.50,short,stop
long,1,2026-03-02T10:47:23.896000,2026-03-02T10:54:10.236000,24946.7500,24896.7500,-101.04,1.04,-99.50,22.00,long,stop
short,1,2026-03-02T11:26:54.972000,2026-03-02T11:37:09.224000,24887.0000,24937.0000,-101.04,1.04,-99.50,69.50,short,stop
