direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2026-03-03T19:18:08.308000,2026-03-03T19:37:27.844000,24770.5000,24704.5000,-133.04,1.04,-135.00,67.50,long,reverse
short,1,2026-03-03T19:37:29.056000,2026-03-03T21:51:09.316000,24702.0000,24667.0000,68.96,1.04,-142.50,226.50,short,eod
long,1,2026-03-04T15:07:33.084000,2026-03-04T20:20:20.544000,25168.0000,25141.7500,-53.54,1.04,-148.50,150.00,long,reverse
short,1,2026-03-04T20:21:04.484000,2026-03-04T21:50:21.660000,25141.0000,25122.7500,35.46,1.04,-67.50,194.00,short,eod
long,1,2026-03-05T15:10:10.300000,2026-03-05T21:22:08.396000,24914.0000,25115.2500,401.46,1.04,-25.00,404.00,long,eod
short,1,2026-03-06T14:30:26.424000,2026-03-06T15:40:50.572000,24832.0000,24706.5000,249.96,1.04,-42.50,454.00,short,reverse
long,1,2026-03-06T15:40:50.576000,2026-03-06T16:52:42.280000,24707.2500,24680.7500,-54.04,1.04,-171.00,0.50,long,eod
short,1,2026-03-08T18:00:00.164000,2026-03-08T19:00:04.664000,24500.0000,24320.5000,357.96,1.04,0.00,568.00,short,reverse
long,1,2026-03-08T19:00:04.664000,2026-03-08T19:47:24.348000,24321.7500,24219.7500,-205.04,1.04,-204.00,9.50,long,reverse
short,1,2026-03-08T19:47:24.348000,2026-03-08T20:54:52.256000,24218.7500,24103.5000,229.46,1.04,-41.00,232.00,short,eod
long,1,2026-03-09T13:32:01.436000,2026-03-09T15:41:42.784000,24606.0000,24953.7500,694.46,1.04,-61.00,898.00,long,reverse
short,1,2026-03-09T15:41:42.868000,2026-03-09T20:37:37.256000,24952.2500,24934.5000,34.46,1.04,-147.00,239.50,short,reverse
long,1,2026-03-09T20:37:38.772000,2026-03-09T20:46:34.620000,24935.0000,24968.7500,66.46,1.04,-12.00,69.00,long,eod
short,1,2026-03-10T14:14:14.880000,2026-03-10T14:27:18.320000,25085.7500,25093.2500,-16.04,1.04,-33.50,196.50,short,reverse
long,1,2026-03-10T14:27:18.384000,2026-03-10T15:26:10.028000,25094.7500,25004.2500,-182.04,1.04,-182.00,29.50,long,reverse
short,1,2026-03-10T15:26:10.064000,2026-03-10T20:09:25.712000,25002.7500,25042.7500,-81.04,1.04,-80.00,124.00,short,reverse
long,1,2026-03-10T20:09:28.960000,2026-03-10T20:26:46.220000,25043.7500,25085.0000,81.46,1.04,-20.50,84.00,long,eod
short,1,2026-03-11T13:36:46.648000,2026-03-11T13:51:48.752000,24972.0000,24975.0000,-7.04,1.04,-6.00,196.50,short,reverse
long,1,2026-03-11T13:51:48.760000,2026-03-11T18:05:44.324000,24975.5000,24904.2500,-143.54,1.04,-170.50,62.50,long,reverse
short,1,2026-03-11T18:05:45.032000,2026-03-11T20:40:02.660000,24904.0000,24805.0000,196.96,1.04,-19.00,343.00,short,eod
long,1,2026-03-12T20:15:38.128000,2026-03-12T20:38:03.884000,24592.7500,24639.7500,92.96,1.04,-4.00,108.00,long,eod
short,1,2026-03-13T13:41:34.616000,2026-03-13T14:43:12.004000,24419.7500,24456.0000,-73.54,1.04,-72.00,133.50,short,reverse
long,1,2026-03-13T14:43:13.624000,2026-03-13T15:26:59.404000,24456.7500,24372.0000,-170.54,1.04,-170.00,32.00,long,reverse
short,1,2026-03-13T15:27:22.688000,2026-03-13T16:59:48.292000,24371.0000,24335.2500,70.46,1.04,-66.00,74.50,short,eod
long,1,2026-03-15T18:01:27.344000,2026-03-15T18:16:52.664000,24368.7500,24301.0000,-136.54,1.04,-135.00,71.00,long,reverse
short,1,2026-03-15T18:16:54.668000,2026-03-15T18:44:37.872000,24300.5000,24393.5000,-187.04,1.04,-191.50,11.00,short,reverse
long,1,2026-03-15T18:47:14.768000,2026-03-15T20:16:58.416000,24397.2500,24524.5000,253.46,1.04,0.00,258.00,long,eod
short,1,2026-03-16T15:13:03.500000,2026-03-16T20:52:04.564000,24931.5000,24812.2500,237.46,1.04,-31.00,239.50,short,eod
long,1,2026-03-17T13:53:29.048000,2026-03-17T20:53:06.616000,25038.0000,25079.0000,80.96,1.04,-113.00,84.50,long,eod
short,1,2026-03-18T13:35:01.640000,2026-03-18T20:45:12.336000,24844.7500,24588.2500,511.96,1.04,-144.00,568.50,short,eod
long,1,2026-03-19T14:58:49.768000,2026-03-19T15:25:55.164000,24518.7500,24588.7500,138.96,1.04,-34.50,345.50,long,reverse
short,1,2026-03-19T15:25:55.268000,2026-03-19T18:00:04.432000,24587.7500,24646.0000,-117.54,1.04,-116.00,86.50,short,reverse
long,1,2026-03-19T18:00:04.492000,2026-03-19T20:24:19.240000,24647.2500,24582.7500,-130.04,1.04,-129.00,22.50,long,eod
short,1,2026-03-20T13:31:16.632000,2026-03-20T15:55:00.712000,24228.5000,24072.0000,311.96,1.04,-9.50,515.50,short,reverse
long,1,2026-03-20T15:55:00.864000,2026-03-20T16:59:53.944000,24073.0000,24218.5000,289.96,1.04,-6.50,292.50,long,eod
short,1,2026-03-22T18:00:01.199362,2026-03-22T18:03:47.616000,23912.0000,23988.2500,-153.54,1.04,-154.00,48.00,short,reverse
long,1,2026-03-22T18:03:48.368000,2026-03-22T19:53:33.680000,23989.7500,23994.2500,7.96,1.04,-67.00,212.00,long,reverse
short,1,2026-03-22T19:53:42.056000,2026-03-22T20:21:13.848000,23993.0000,24075.5000,-166.04,1.04,-166.00,42.00,short,reverse
long,1,2026-03-22T20:21:15.628000,2026-03-22T20:35:56.028000,24077.0000,23988.0000,-179.04,1.04,-178.00,26.50,long,reverse
short,1,2026-03-22T20:35:56.036000,2026-03-22T20:54:41.304000,23987.0000,23948.7500,75.46,1.04,-17.50,78.00,short,eod
long,1,2026-03-23T13:30:30.200000,2026-03-23T15:55:14.360000,24373.2500,24436.0000,124.46,1.04,-13.50,327.50,long,reverse
short,1,2026-03-23T15:55:14.472000,2026-03-23T18:51:59.968000,24434.5000,24458.7500,-49.54,1.04,-49.50,153.50,short,reverse
long,1,2026-03-23T18:52:00.164000,2026-03-23T20:12:00.048000,24459.2500,24388.5000,-142.54,1.04,-142.00,61.50,long,reverse
short,1,2026-03-23T20:12:11.276000,2026-03-23T20:53:46.008000,24387.2500,24340.0000,93.46,1.04,-25.50,239.50,short,eod
